Designator,Mid X,Mid Y,Rotation,Layer
C1,150.592349,-86.995,0.0,top
C2,139.64,-70.485,0.0,top
C3,147.5,-62.85,270.0,top
C4,149.86,-80.03,90.0,top
C5,149.84,-70.485,180.0,top
C6,156.185,-75.565,180.0,top
C7,144.145,-81.28,90.0,top
D1,202.565,-76.2,270.0,top
D2,146.05,-75.565,0.0,top
J1,177.165,-84.455,0.0,top
J10,202.565,-64.77,0.0,top
J11,138.3125,-83.82,270.0,top
J2,146.685,-102.87,90.0,top
J3,164.465,-102.87,90.0,top
J4,182.245,-102.87,90.0,top
J5,200.025,-102.87,90.0,top
J6,146.685,-106.68,90.0,top
J7,164.465,-106.68,90.0,top
J8,182.245,-106.68,90.0,top
J9,200.025,-106.68,90.0,top
JP1,198.77,-58.3,90.0,top
JP2,164.592,-71.882,90.0,top
JP3,164.592,-75.184,90.0,top
R1,164.465,-65.405,0.0,top
R10,163.195,-94.84,270.0,top
R11,166.38,-94.84,270.0,top
R12,169.545,-94.84,270.0,top
R13,177.8,-94.84,270.0,top
R14,180.975,-94.84,270.0,top
R15,184.15,-94.84,270.0,top
R16,187.325,-94.84,270.0,top
R17,194.31,-94.84,270.0,top
R18,197.485,-94.84,270.0,top
R19,200.66,-94.84,270.0,top
R2,164.465,-62.23,0.0,top
R20,203.8604,-94.84,270.0,top
R21,139.42,-58.4,180.0,top
R22,155.52,-58.5,180.0,top
R23,164.465,-68.58,0.0,top
R24,157.48,-71.0,180.0,top
R25,186.47,-87.7,0.0,top
R26,186.47,-81.7,0.0,top
R27,186.47,-84.7,180.0,top
R3,201.295,-80.645,180.0,top
R4,164.465,-59.055,0.0,top
R5,142.24,-94.84,270.0,top
R6,145.415,-94.84,270.0,top
R7,148.59,-94.84,270.0,top
R8,151.765,-94.84,270.0,top
R9,160.02,-94.84,270.0,top
SW1,139.05,-63.75,0.0,top
SW2,156.135,-63.75,0.0,top
U1,184.01,-64.13,0.0,top
U2,160.02,-83.82,180.0,top
