Designator,Mid X,Mid Y,Rotation,Layer
C1,134.0104,-105.7174,90.0,top
C2,134.747,-94.3356,0.0,top
C3,134.747,-92.837,0.0,top
C4,119.4816,-95.0976,90.0,top
C5,116.4844,-95.0722,90.0,top
C6,115.3414,-102.5,270.0,top
C7,115.2144,-106.426,90.0,top
D1,166.0906,-109.6264,0.0,top
D2,117.7544,-99.2,180.0,top
J1,152.365902,-106.9664,0.0,top
J10,148.9456,-91.2114,0.0,top
J11,119.8626,-107.2134,270.0,top
J2,126.0856,-120.142,90.0,top
J3,141.3256,-120.142,90.0,top
J4,156.5656,-120.142,90.0,top
J5,171.8056,-120.142,90.0,top
J6,126.0856,-123.952,90.0,top
J7,141.3256,-123.952,90.0,top
J8,156.5656,-123.952,90.0,top
J9,171.8056,-123.952,90.0,top
JP1,157.8406,-108.1024,270.0,top
JP2,140.5636,-95.2754,90.0,top
JP3,140.5636,-97.8154,90.0,top
R1,145.3,-95.6,180.0,top
R10,140.0556,-115.314,270.0,top
R11,142.5956,-115.314,270.0,top
R12,145.1356,-115.314,270.0,top
R13,152.7556,-115.314,270.0,top
R14,155.2956,-115.314,270.0,top
R15,157.8356,-115.318,270.0,top
R16,160.3756,-115.318,270.0,top
R17,167.9956,-115.314,270.0,top
R18,170.5356,-115.314,270.0,top
R19,173.0756,-115.318,270.0,top
R2,154.178,-92.7,0.0,top
R20,175.6156,-115.314,270.0,top
R21,154.2,-88.2,180.0,top
R22,154.2,-89.7,0.0,top
R23,154.1658,-94.9452,0.0,top
R24,154.1658,-96.4438,180.0,top
R25,144.1,-106.325,90.0,top
R26,146.825,-107.3,0.0,top
R27,146.825,-105.5,180.0,top
R3,172.4406,-107.061,90.0,top
R4,154.178,-91.2,0.0,top
R5,122.2756,-115.314,270.0,top
R6,124.8156,-115.316,270.0,top
R7,127.3556,-115.314,270.0,top
R8,129.8956,-115.314,270.0,top
R9,137.5156,-115.314,270.0,top
SW1,121.0,-89.9,180.0,top
SW2,140.6156,-89.9414,0.0,top
U1,166.7256,-94.9764,0.0,top
U2,127.0758,-96.8756,180.0,top
